,Ticker,Exchange,Name,Clean_Name
524,FRA,XETR , Fraport Ag, Fraport
525,NETB,XETR , Freenet Ag, Freenet
526,FREEUR,XETR , Fresenius, Fresenius
527,FMSC34,XETR , Fresenius Medical Care Ag, Fresenius Medical Care
528,G1AA,XETR , Gea Group Ag, Gea Group
529,GXI,XETR , Gerresheimer Ag, Gerresheimer
530,GLJ,XETR , Grenke N Ag, Grenke N
531,HNR1,XETR , Hannover Rueckversicherung Ag, Hannover Rueckversicherung
532,HEI,XETR , Heidelbergcement Ag, Heidelbergcement
533,HOT,XETR , Hochtief Ag, Hochtief
534,IFX,XETR , Infineon Technologies Ag, Infineon Technologies
535,SDF,XETR , K+S Ag, K+S
536,KGX,XETR , Kion Group Ag, Kion Group
537,KBX,XETR , Knorr Bremse Ag, Knorr Bremse
538,LXS,XETR , Lanxess Ag, Lanxess
539,LEG,XETR , Leg Immobilien Ag, Leg Immobilien
540,MRK,XETR , Merck Kgaa, Merck Kgaa
541,B4B,XETR , Metro Agency, Metro Agency
542,MOR,XETR , Morphosys Ag, Morphosys
543,MTX,XETR , MTU Aero Engines Holding Ag, Mtu Aero Engines Holding
544,MUV2,XETR , Muenchener Rueckversicherungs Gesellschaft Ag In, Muenchener Rueckversicherungs Gesellschaft Ag In
545,NEM,XETR , Nemetschek Ag, Nemetschek
546,OSR,XETR , Osram Licht Ag, Osram Licht
547,PSM,XETR , Prosiebensat 1 Media Ag, Prosiebensat 1 Media
548,PUM,XETR , Puma Se, Puma
549,QIA,XETR , Qiagen Nv, Qiagen
550,RHM,XETR , Rheinmetall Ag, Rheinmetall
551,RWE,XETR , Rwe Agency, Rwe Agency
552,SAP,XETR , SAP Ag, Sap
553,G24,XETR , Scout24 Ag, Scout24
554,SIE,XETR , Siemens Ag, Siemens
555,SHLX,XETR , Siemens Healthineers, Siemens Healthineers
556,SY1,XETR , Symrise Ag, Symrise
557,TEG,XETR , Tag Immobilien Ag, Tag Immobilien
558,TEF,XETR , Telefonica Deutschland Holding Ag, Telefonica Deutschland Holding
559,THK,XETR , ThyssenKrupp Ag, Thyssenkrupp
560,UN01,XETR , Uniper Se, Uniper
561,UTDI,XETR , United Internet Ag, United Internet
562,VNA,XETR , Vonovia Se Pre, Vonovia Se Pre
563,WDI,XETR , Wirecard Ag, Wirecard
564,RACE,MIL , Ferrari Nv, Ferrari
565,TUI,LDN , TUI Ag, Tui
566,LIN,XETR , Linde PLC, Linde
567,AT1,XETR , Aroundtown, Aroundtown
568,CRH,DUBL , CRH PLC, Crh
569,FLTR,DUBL , Flutter Entertainment PLC, Flutter Entertainment
570,GYC,XETR , Grand City Properties Sa, Grand City Properties
571,NDA,OMX , Nordea Bank Ab, Nordea Bank
572,OMU,LDN , Old Mutual Limited, Old Mutual
573,RRTL,XETR , RTL Group, RTL Group
574,SESG,ENXP , SES Sa, Ses
575,STM,MIL , STMicroelectronics Nv, Stmicroelectronics
576,FTI,ENXP , TechnipFMC PLC, Technipfmc
577,ESSITYB,OMX , Essity Ab, Essity
578,VOW,XETR , Volkswagen Ag, Volkswagen
579,FPE,XETR , Fuchs Petrolub Ag, Fuchs Petrolub
580,HEN3,XETR , Henkel, Henkel
581,SRT,XETR , Sartorius Ag, Sartorius
582,SCHP,SIX , Schindler Holding Ag, Schindler Holding
583,AAPL,NASD , Apple Incorporated, Apple
584,MSFT,NASD , Microsoft Corporation, Microsoft
585,AMZN,NASD , Amazon Incorporated, Amazon
586,JNJ,NYSE , Johnson & Johnson, Johnson & Johnson
587,JPM,NYSE , JPMorgan Chase & Company, JPMorgan Chase & Company
588,FB,NASD , Facebook Incorporated, Facebook
589,XOM,NYSE , Exxon Mobil Corporation, Exxon Mobil
590,GOOGL,NASD , Alphabet Incorporated, Alphabet
591,WMT,NYSE , Walmart Incorporated, Walmart
592,BAC,NYSE , Bank Of America Corporation, Bank Of America
593,PFE,NYSE , Pfizer Incorporated, Pfizer
594,UNH,NYSE , Unitedhealth Group Incorporated, Unitedhealth Group
595,V,NYSE , Visa Incorporated, Visa
596,VZ,NYSE , Verizon Communications, Verizon Communications
597,WFC,NYSE , Wells Fargo & Company, Wells Fargo & Company
598,PG,NYSE , The Procter & Gamble Company, The Procter & Gamble Company
599,T,NYSE , AT&T Incorporated, At&T
600,CVX,NYSE , Chevron Corporation, Chevron
601,KO,NYSE , The Coca-Cola Company, The Coca-Cola Company
602,INTC,NASD , Intel Corporation, Intel
603,CSCO,NASD , Cisco Systems Incorporated, Cisco Systems
604,MA,NYSE , Mastercard Incorporated, Mastercard
605,MRK,NYSE , Merck & Company Incorporated, Merck & Company
606,HD,NYSE , Home Depot Incorporated, Home Depot
607,BA,NYSE , The Boeing Company, The Boeing Company
608,ORCL,NYSE , Oracle Corporation, Oracle
609,DIS,NYSE , Walt Disney Company, Walt Disney Company
610,CMCSA,NASD , Comcast Corporation, Comcast
611,PEP,NASD , Pepsico Incorporated, Pepsico
612,C,NYSE , Citigroup Incorporated, Citigroup
613,MCD,NYSE , McDonald's Corporation, Mcdonald'S
614,ABBV,NYSE , AbbVie Incorporated, Abbvie
615,DD,NYSE , DuPont De Nemours Incorporated, Dupont De Nemours
616,PM,NYSE , Philip Morris International Incorporated, Philip Morris International
617,ABT,NYSE , Abbott Laboratories, Abbott Laboratories
618,MDT,NYSE , Medtronic PLC, Medtronic
619,AMGN,NASD , Amgen Incorporated, Amgen
620,NFLX,NASD , Netflix Incorporated, Netflix
621,ADBE,NASD , Adobe Incorporated, Adobe
622,MMM,NYSE , 3M Company, 3M Company
623,LLY,NYSE , Eli Lilly & Company, Eli Lilly & Company
624,IBM,NYSE , International Business Machines Corporation, International Business Machines
625,UNP,NYSE , Union Pacific Corporation, Union Pacific
626,HON,NYSE , Honeywell International Incorporated, Honeywell International
627,ACN,NYSE , Accenture PLC, Accenture
628,CRM,NYSE , Salesforce Incorporated, Salesforce
629,MO,NYSE , Altria Group Incorporated, Altria Group
630,COST,NASD , Costco Wholesale Corporation, Costco Wholesale
631,PYPL,NASD , Paypal Holdings Incorporated, Paypal Holdings
632,NKE,NYSE , Nike Incorporated, Nike
633,CVS,NYSE , CVS Health Corporation, Cvs Health
634,AVGO,NASD , Broadcom Pte Limited, Broadcom Pte
635,NVDA,NASD , Nvidia Corporation, Nvidia
636,TMO,NYSE , Thermo Fisher Scientific Inc, Thermo Fisher Scientific
637,AXP,NYSE , American Express Company, American Express Company
638,TXN,NASD , Texas Instruments Incorporated, Texas Instruments
639,BMY,NYSE , Bristol Myers Squibb Company, Bristol Myers Squibb Company
640,GILD,NASD , Gilead Sciences Incorporated, Gilead Sciences
641,NEE,NYSE , Nextera Energy Incorporated, Nextera Energy
642,BKNG,NASD , Booking Holdings Incorporated, Booking Holdings
643,LIN,NYSE , Linde PLC, Linde
644,LMT,NYSE , Lockheed Martin Corporation, Lockheed Martin
645,USB,NYSE , US Bancorp, US Bancorp
646,SBUX,NASD , Starbucks Corporation, Starbucks
647,WBA,NASD , Walgreens Boots Alliance Incorporated, Walgreens Boots Alliance
648,CAT,NYSE , Caterpillar Incorporated, Caterpillar
649,COP,NYSE , Conocophillips, Conocophillips
650,LOW,NYSE , Lowe's Companies Incorporated, Lowe'S Companies
651,MS,NYSE , Morgan Stanley, Morgan Stanley
652,UPS,NYSE , United Parcel Service Incorporated, United Parcel Service
653,AMT,NYSE , American Tower Corporation, American Tower
654,DHR,NYSE , Danaher Corporation, Danaher
655,CHTR,NASD , Charter Communications Incorporated, Charter Communications
656,GS,NYSE , The Goldman Sachs Group Incorporated, The Goldman Sachs Group
657,ANTM,NYSE , Anthem Incorporated, Anthem
658,QCOM,NASD , Qualcomm Incorporated, Qualcomm
659,MDLZ,NASD , Mondelez International Incorporated, Mondelez International
660,GE,NYSE , General Electric Company, General Electric Company
661,BIIB,NASD , Biogen Incorporated, Biogen
662,BLK,NYSE , Blackrock Incorporated, Blackrock
663,CME,NASD , CME Group Incorporated, Cme Group
664,DUK,NYSE , Duke Energy Corporation, Duke Energy
665,BDX,NYSE , Becton Dickinson & Company, Becton Dickinson & Company
666,SYK,NYSE , Stryker Corporation, Stryker
667,KHC,NASD , Kraft Heinz Company, Kraft Heinz Company
668,SLB,NYSE , Schlumberger Limited, Schlumberger
669,ADP,NASD , Automatic Data Processing Incorporated, Automatic Data Processing
670,CB,NYSE , Chubb Limited, Chubb
671,EOG,NYSE , EOG Resources Incorporated, Eog Resources
672,SPG,NYSE , Simon Property Group Incorporated, Simon Property Group
673,CSX,NASD , CSX Corporation, Csx
674,FDX,NYSE , Fedex Corporation, Fedex
675,PNC,NYSE , PNC Financial Services Group Incorporated, Pnc Financial Services Group
676,CL,NYSE , Colgate-Palmolive Company, Colgate-Palmolive Company
677,TMUS,NASD , T-Mobile US Incorporated, T-Mobile Us
678,SCHW,NYSE , Charles Schwab Corporation, Charles Schwab
679,INTU,NASD , Intuit Incorporated, Intuit
680,ISRG,NASD , Intuitive Surgical Incorporated, Intuitive Surgical
681,TJX,NYSE , TJX Companies Incorporated, Tjx Companies
682,GM,NYSE , General Motors Company, General Motors Company
683,CI,NYSE , Cigna Holding Company, Cigna Holding Company
684,GD,NYSE , General Dynamics Corporation, General Dynamics
685,OXY,NYSE , Occidental Petroleum Corporation, Occidental Petroleum
686,SO,NYSE , The Southern Company, The Southern Company
687,BK,NYSE , Bank Of New York Mellon Corporation, Bank Of New York Mellon
688,D,NYSE , Dominion Energy Incorporated, Dominion Energy
